ID_Nodo,Latitud,Longitud,Calle_A,Calle_B,Nombre_Esquina
2080152229,-24.7801294,-65.4066,Adolfo Alsina,Patricias Argentinas,Adolfo Alsina y Patricias Argentinas
2081308253,-24.7755276,-65.3974923,Las Higueras,Las Papayas,Las Higueras y Las Papayas
2081308265,-24.7758931,-65.3975112,Las Papayas,Los Ciruelos,Las Papayas y Los Ciruelos
2081378696,-24.774045,-65.4149078,Avenida Domingo Faustino Sarmiento,Rotonda del Parque 20 de Febrero,Avenida Domingo Faustino Sarmiento y Rotonda del Parque 20 de Febrero
2091748232,-24.7769263,-65.4069505,Deán Funes,Ricardo Rojas,Deán Funes y Ricardo Rojas
2091748233,-24.7792556,-65.4295479,Juan Esteban Pedernera,Los Arrieros,Juan Esteban Pedernera y Los Arrieros
2091748234,-24.77934,-65.4281729,Junín,Los Arrieros,Junín y Los Arrieros
2091748235,-24.7794378,-65.4268014,Los Arrieros,República de Siria,Los Arrieros y República de Siria
2091748236,-24.7837161,-65.4004643,Avenida Uruguay,Doctor Luis Linares,Avenida Uruguay y Doctor Luis Linares
2105952193,-24.7900009,-65.4346954,Eduardo Gauna,Pasaje de las Piedras,Eduardo Gauna y Pasaje de las Piedras
2105952201,-24.7894697,-65.4332337,Rudecindo Alvarado,Santa Victoria,Rudecindo Alvarado y Santa Victoria
2109826776,-24.8051271,-65.3961663,Las Orquídeas,Los Tulipanes,Las Orquídeas y Los Tulipanes
2109826777,-24.8051862,-65.3954465,Las Orquídeas,Los Alelíes,Las Orquídeas y Los Alelíes
2109826778,-24.7855961,-65.4032969,Gertrudis Medeiros de Cornejo,Santiago del Estero,Gertrudis Medeiros de Cornejo y Santiago del Estero
2109826779,-24.7868435,-65.403395,General Martín Miguel de Güemes,Gertrudis Medeiros de Cornejo,General Martín Miguel de Güemes y Gertrudis Medeiros de Cornejo
2116945942,-24.7711515,-65.4272244,Doctor Manuel Anzoátegui,Junín,Doctor Manuel Anzoátegui y Junín
2116945947,-24.7714325,-65.4230784,Doctor Manuel Anzoátegui,Rudecindo Ibazeta,Doctor Manuel Anzoátegui y Rudecindo Ibazeta
2116945948,-24.7712366,-65.4258336,Doctor Manuel Anzoátegui,República de Siria,Doctor Manuel Anzoátegui y República de Siria
2116945953,-24.7726705,-65.4239116,Aniceto Latorre,Doctor Joseph Redhead,Aniceto Latorre y Doctor Joseph Redhead
2117071014,-24.7758623,-65.4137193,25 de Mayo,Bernardo O'Higgins,25 de Mayo y Bernardo O'Higgins
2117071018,-24.7758359,-65.3924034,Las Retamas,Los Aguaribayes,Las Retamas y Los Aguaribayes
2117071023,-24.7753961,-65.3991582,Las Higueras,Los Membrillos,Las Higueras y Los Membrillos
2118016402,-24.7922657,-65.419581,Bonifacio Ruiz de los Llanos,José Ignacio de Gorriti,Bonifacio Ruiz de los Llanos y José Ignacio de Gorriti
2118016403,-24.7908931,-65.4221612,General Gregorio Aráoz de Lamadrid,Santa Rosa,General Gregorio Aráoz de Lamadrid y Santa Rosa
